Response,Emotions,Zone Type,Participant External Session ID,Reaction Time,Task Name,Participant Private ID
BLUE,CALM,response_markdown,5f3164c6314d5664b7269a19,955.6549999979324,3_ Emotion & Color Association Phase_ENGLISH,1835535.0
RED,ALARMED,response_markdown,5f3164c6314d5664b7269a19,1008.0399999860674,3_ Emotion & Color Association Phase_ENGLISH,1835535.0
BLUE,BORED,response_markdown,5f3164c6314d5664b7269a19,2704.8499999800697,3_ Emotion & Color Association Phase_ENGLISH,1835535.0
BLUE,SERENE,response_markdown,5f3164c6314d5664b7269a19,1138.3500000229103,3_ Emotion & Color Association Phase_ENGLISH,1835535.0
ORANGE,FRUSTRATED,response_markdown,5f3164c6314d5664b7269a19,1050.66499998793,3_ Emotion & Color Association Phase_ENGLISH,1835535.0
GREEN,AFRAID,response_markdown,5f3164c6314d5664b7269a19,1001.26500002807,3_ Emotion & Color Association Phase_ENGLISH,1835535.0
BLUE,SLEEPY,response_markdown,5f3164c6314d5664b7269a19,110.93000002438204,3_ Emotion & Color Association Phase_ENGLISH,1835535.0
BLUE,DEPRESSED,response_markdown,5f3164c6314d5664b7269a19,898.9150000270456,3_ Emotion & Color Association Phase_ENGLISH,1835535.0
ORANGE,SURPRISED,response_markdown,5f3164c6314d5664b7269a19,1399.860000004992,3_ Emotion & Color Association Phase_ENGLISH,1835535.0
YELLOW,HAPPY,response_markdown,5f3164c6314d5664b7269a19,1709.2600000323728,3_ Emotion & Color Association Phase_ENGLISH,1835535.0
RED,ALARMED,response_markdown,5f31656ac1451163317790c2,2778.374999994412,3_ Emotion & Color Association Phase_ENGLISH,1835573.0
ORANGE,BORED,response_markdown,5f31656ac1451163317790c2,863.2199999992736,3_ Emotion & Color Association Phase_ENGLISH,1835573.0
PURPLE,SATISFIED,response_markdown,5f31656ac1451163317790c2,1132.0699999923818,3_ Emotion & Color Association Phase_ENGLISH,1835573.0
YELLOW,EXCITED,response_markdown,5f31656ac1451163317790c2,577.7850000013132,3_ Emotion & Color Association Phase_ENGLISH,1835573.0
BLUE,CALM,response_markdown,5f31656ac1451163317790c2,86.86999999918044,3_ Emotion & Color Association Phase_ENGLISH,1835573.0
RED,STRESSED,response_markdown,5f31656ac1451163317790c2,2255.044999998063,3_ Emotion & Color Association Phase_ENGLISH,1835573.0
YELLOW,HAPPY,response_markdown,5f31656ac1451163317790c2,556.5150000038557,3_ Emotion & Color Association Phase_ENGLISH,1835573.0
ORANGE,ASTONISHED,response_markdown,5f31656ac1451163317790c2,467.2950000094716,3_ Emotion & Color Association Phase_ENGLISH,1835573.0
PURPLE,SLEEPY,response_markdown,5f31656ac1451163317790c2,483.18499999004416,3_ Emotion & Color Association Phase_ENGLISH,1835573.0
GREEN,DISGUSTED,response_markdown,5f31656ac1451163317790c2,510.98500000080094,3_ Emotion & Color Association Phase_ENGLISH,1835573.0
PURPLE,TIRED,response_markdown,5f31656ac1451163317790c2,439.7449999814853,3_ Emotion & Color Association Phase_ENGLISH,1835573.0
BLUE,DEPRESSED,response_markdown,5f31656ac1451163317790c2,417.0849999936763,3_ Emotion & Color Association Phase_ENGLISH,1835573.0
YELLOW,SERENE,response_markdown,5f31656ac1451163317790c2,1005.0300000002608,3_ Emotion & Color Association Phase_ENGLISH,1835573.0
PURPLE,AFRAID,response_markdown,5f31656ac1451163317790c2,343.235000007553,3_ Emotion & Color Association Phase_ENGLISH,1835573.0
ORANGE,SURPRISED,response_markdown,5f31656ac1451163317790c2,518.7100000039209,3_ Emotion & Color Association Phase_ENGLISH,1835573.0
RED,FRUSTRATED,response_markdown,5f31656ac1451163317790c2,279.14500000770204,3_ Emotion & Color Association Phase_ENGLISH,1835573.0
RED,ANGRY,response_markdown,5f31656ac1451163317790c2,203.11499998206276,3_ Emotion & Color Association Phase_ENGLISH,1835573.0
BLUE,SAD,response_markdown,5f31656ac1451163317790c2,398.5699999902863,3_ Emotion & Color Association Phase_ENGLISH,1835573.0
BLUE,SLEEPY,response_markdown,5f3164547d7561645c9f4f55,5697.084999643266,3_ Emotion & Color Association Phase_ENGLISH,1835543.0
RED,ANGRY,response_markdown,5f3164547d7561645c9f4f55,599.1050000302494,3_ Emotion & Color Association Phase_ENGLISH,1835543.0
